Derivatives Data - All Derivatives,,,,,,,,,,,,,,,,,,
As of 30/06/2024
Underlying Asset,Derivative Name,ISIN,Contract Unit,Closing Price (NIS),Volume,Turnover Value (NIS),Transactions,Delta,Last Trade,High,Low,Change (%),Change in Points,Volume in terms of underlying asset (NIS thousands), Open Positions,% Change in positions,Strike Price,Exercise Date
TA-35 Index,T35-P001750D107,IL0850510434,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,7,0.0,1750.00,03/07/2024
TA-35 Index,T35-C001760D107,IL0850498150,50.00,11201.00,0,0.00,0,100.00,EoD,,,3.56,385.00,0.00,0,0.0,1760.00,03/07/2024
TA-35 Index,T35-P001760D107,IL0850506317,50.00,,0,0.00,0,0.00,EoD,,,0.00,0.00,0.00,5,0.0,1760.00,03/07/2024
TA-35 Index,T35-C001770D107,IL0850502191,50.00,10701.00,0,0.00,0,100.00,EoD,,,3.70,382.00,0.00,0,0.0,1770.00,03/07/2024
TA-35 Index,T35-P001770D107,IL0850510350,50.00,,0,0.00,0,0.00,EoD,,,-100.00,-2.00,0.00,14,0.0,1770.00,03/07/2024
TA-35 Index,T35-C001780D107,IL0850498077,50.00,10201.00,0,0.00,0,100.00,EoD,,,3.89,382.00,0.00,0,0.0,1780.00,03/07/2024
TA-35 Index,T35-P001780D107,IL0850506234,50.00,,0,0.00,0,0.00,EoD,,,-100.00,-2.00,0.00,157,0.0,1780.00,03/07/2024
TA-35 Index,T35-C001790D107,IL0850502019,50.00,9701.00,0,0.00,0,100.00,EoD,,,4.10,382.00,0.00,0,0.0,1790.00,03/07/2024
TA-35 Index,T35-P001790D107,IL0850510277,50.00,,0,0.00,0,0.00,EoD,,,-100.00,-2.00,0.00,11,0.0,1790.00,03/07/2024
TA-35 Index,T35-C001800D107,IL0850497996,50.00,9201.00,0,0.00,0,100.00,EoD,,,4.33,382.00,0.00,0,0.0,1800.00,03/07/2024
TA-35 Index,T35-P001800D107,IL0850506150,50.00,,0,0.00,0,0.00,EoD,,,-100.00,-2.00,0.00,159,0.0,1800.00,03/07/2024
TA-35 Index,T35-C001810D107,IL0850501938,50.00,8701.00,0,0.00,0,100.00,EoD,,,4.57,380.00,0.00,0,0.0,1810.00,03/07/2024
TA-35 Index,T35-P001810D107,IL0850510194,50.00,,0,0.00,0,0.00,EoD,,,-100.00,-3.00,0.00,22,57.1,1810.00,03/07/2024
TA-35 Index,T35-C001820D107,IL0850497814,50.00,8201.00,0,0.00,0,100.00,EoD,,,4.86,380.00,0.00,0,0.0,1820.00,03/07/2024
TA-35 Index,T35-P001820D107,IL0850506077,50.00,,0,0.00,0,0.00,EoD,,,-100.00,-3.00,0.00,20,0.0,1820.00,03/07/2024
TA-35 Index,T35-C001830D107,IL0850501854,50.00,7702.00,0,0.00,0,100.00,EoD,,,5.16,378.00,0.00,0,0.0,1830.00,03/07/2024
TA-35 Index,T35-P001830D107,IL0850510012,50.00,,5,20.00,2,0.00,EoD,4.00,4.00,-100.00,-6.00,496.22,117,0.0,1830.00,03/07/2024
TA-35 Index,T35-C001840D107,IL0850497731,50.00,7203.00,0,0.00,0,100.00,EoD,,,5.54,378.00,0.00,0,0.0,1840.00,03/07/2024
TA-35 Index,T35-P001840D107,IL0850505996,50.00,1.00,54,117.00,10,0.00,EoD,3.00,2.00,-83.33,-5.00,5359.20,184,166.7,1840.00,03/07/2024
TA-35 Index,T35-C001850D107,IL0850501771,50.00,6704.00,0,0.00,0,100.00,EoD,,,6.01,380.00,0.00,0,0.0,1850.00,03/07/2024
TA-35 Index,T35-P001850D107,IL0850509956,50.00,2.00,0,0.00,0,0.00,EoD,,,-60.00,-3.00,0.00,203,31.0,1850.00,03/07/2024
TA-35 Index,T35-C001860D107,IL0850497657,50.00,6204.00,0,0.00,0,99.99,EoD,,,6.49,378.00,0.00,0,0.0,1860.00,03/07/2024
TA-35 Index,T35-P001860D107,IL0850505814,50.00,2.00,0,0.00,0,-0.01,EoD,,,-71.43,-5.00,0.00,43,616.7,1860.00,03/07/2024
TA-35 Index,T35-C001870D107,IL0850501698,50.00,5704.00,0,0.00,0,99.97,EoD,,,7.02,374.00,0.00,0,0.0,1870.00,03/07/2024
TA-35 Index,T35-P001870D107,IL0850509873,50.00,2.00,0,0.00,0,-0.03,EoD,,,-80.00,-8.00,0.00,29,93.3,1870.00,03/07/2024
TA-35 Index,T35-C001880D107,IL0850497574,50.00,5205.00,0,0.00,0,99.90,EoD,,,7.74,374.00,0.00,0,0.0,1880.00,03/07/2024
TA-35 Index,T35-P001880D107,IL0850505731,50.00,3.00,107,347.00,48,-0.10,EoD,5.00,2.00,-72.73,-8.00,10619.16,322,973.3,1880.00,03/07/2024
TA-35 Index,T35-C001890D107,IL0850501516,50.00,4704.00,0,0.00,0,99.72,EoD,,,8.46,367.00,0.00,0,0.0,1890.00,03/07/2024
TA-35 Index,T35-P001890D107,IL0850509790,50.00,2.00,100,402.00,11,-0.28,EoD,5.00,3.00,-88.24,-15.00,9924.45,230,1816.7,1890.00,03/07/2024
TA-35 Index,T35-C001900D107,IL0850497400,50.00,4206.00,6,25740.00,1,99.28,EoD,4290.00,4290.00,9.39,361.00,595.47,0,0.0,1900.00,03/07/2024
TA-35 Index,T35-P001900D107,IL0850505657,50.00,4.00,480,2562.00,104,-0.72,EoD,9.00,3.00,-84.00,-21.00,47637.36,202,573.3,1900.00,03/07/2024
TA-35 Index,T35-C001910D107,IL0850501441,50.00,3706.00,0,0.00,0,98.32,EoD,,,10.40,349.00,0.00,0,0.0,1910.00,03/07/2024
TA-35 Index,T35-P001910D107,IL0850509618,50.00,4.00,64,446.00,26,-1.68,EoD,10.00,4.00,-88.89,-32.00,6351.65,36,350.0,1910.00,03/07/2024
TA-35 Index,T35-C001920D107,IL0850497327,50.00,3209.00,0,0.00,0,96.45,EoD,,,11.66,335.00,0.00,0,0.0,1920.00,03/07/2024
TA-35 Index,T35-P001920D107,IL0850505574,50.00,6.00,714,7649.00,174,-3.55,EoD,24.00,4.00,-88.68,-47.00,70860.57,232,129.7,1920.00,03/07/2024
TA-35 Index,T35-C001930D107,IL0850501367,50.00,2714.00,6,16600.00,2,93.14,EoD,2770.00,2760.00,13.04,313.00,595.47,0,0.0,1930.00,03/07/2024
TA-35 Index,T35-P001930D107,IL0850509535,50.00,11.00,1265,23892.00,277,-6.86,EoD,30.00,9.00,-86.25,-69.00,125544.29,147,568.2,1930.00,03/07/2024
TA-35 Index,T35-C001940D107,IL0850497244,50.00,2223.00,23,46940.00,19,87.90,EoD,2280.00,1800.00,14.18,276.00,2282.62,3,0.0,1940.00,03/07/2024
TA-35 Index,T35-P001940D107,IL0850505400,50.00,20.00,1443,47700.00,373,-12.10,EoD,62.00,17.00,-84.00,-105.00,143209.81,218,847.8,1940.00,03/07/2024
TA-35 Index,T35-C001950D107,IL0850501284,50.00,1737.00,168,262840.00,100,80.37,EoD,1850.00,1180.00,9.59,152.00,16673.08,59,353.8,1950.00,03/07/2024
TA-35 Index,T35-P001950D107,IL0850509469,50.00,34.00,1384,83320.00,461,-19.63,EoD,92.00,32.00,-80.57,-141.00,137354.39,377,776.7,1950.00,03/07/2024
TA-35 Index,T35-C001960D107,IL0850497160,50.00,1230.00,974,1043570.00,479,70.59,EoD,1400.00,750.00,9.33,105.00,96664.14,74,0.0,1960.00,03/07/2024
TA-35 Index,T35-P001960D107,IL0850505327,50.00,75.00,2253,230149.00,734,-29.41,EoD,165.00,58.00,-72.43,-197.00,223597.86,163,1937.5,1960.00,03/07/2024
TA-35 Index,T35-C001970D107,IL0850501102,50.00,822.00,2257,1607990.00,968,59.08,EoD,1170.00,400.00,6.75,52.00,223994.84,148,261.0,1970.00,03/07/2024
TA-35 Index,T35-P001970D107,IL0850509386,50.00,122.00,3040,587805.00,975,-40.92,EoD,300.00,105.00,-70.88,-297.00,301703.28,281,726.5,1970.00,03/07/2024
TA-35 Index,T35-C001980D107,IL0850497087,50.00,437.00,2878,1152040.00,1154,46.78,EoD,800.00,160.00,-13.64,-69.00,285625.67,341,16950.0,1980.00,03/07/2024
TA-35 Index,T35-P001980D107,IL0850505244,50.00,256.00,2774,990980.00,1089,-53.22,EoD,570.00,200.00,-60.00,-384.00,275304.24,74,722.2,1980.00,03/07/2024
TA-35 Index,T35-C001990D107,IL0850501029,50.00,192.00,2789,498191.00,958,34.85,EoD,450.00,54.00,-28.89,-78.00,276792.91,192,9500.0,1990.00,03/07/2024
TA-35 Index,T35-P001990D107,IL0850509204,50.00,483.00,1723,1087370.00,787,-65.15,EoD,950.00,400.00,-48.62,-457.00,170998.27,70,483.3,1990.00,03/07/2024
